cena,lokacija,velikost,leto,vrsta,podvrsta,prodajalec,opis 
"293.000,00",LJ. ŠIŠKA,80,1939,Stanovanje, 3-sobno,Rocco nepremičnine d.o.o. ,"Tik ob Centru, nedaleč stran od Tivolija, ravno prav umaknjena od mestnega vrveža in ob enem sredi zelo zaželene soseske, na vrhu starejše, urejene hiše prodamo lično stanovanje. POZOR! Pravkar v stavbi montirajo dvigalo.  Ko vstopimo v stanovanje, nas na levi strani preseneti prostorna, svetla dnevna soba. Na drugi strani lahko preidemo preko manjše predsobe v kuhinjo z jedilnico, ki sta prav tako svetli in prostorni. Vmes, od vhoda na ravnost, se nam rahlo skrita razodene simpatična spalnica, malo pred vhodom v spalnico pa etažo zaključuje zanimiva kopalnica. Na križišču vseh teh prostorov so logično in oblikovno zanimive speljane stopnice v zgornjo etažo v kateri sta dve sobi. Prva je malo manjša, vendar dovolj velika za posteljo in druga dovolj prostorna, da poleg ležišča vsebuje manjšo pisarno. Z vseh smeri lahko opazujemo lepe razglede, s kuhinje na Šmarno goro, Plečnikovo cerkev in lep del Šiške, z zgornje spalnice proti severnim ljubljanskim vratom in proti gradu, z dnevne sobe proti Šišenskemu hribu. V okolici je vse, kar si sodoben rezident prestolnice nadeja. Če si želite zanimivo in razgibano stanovanje na dobri lokaciji, nas kontaktirajte in z veseljem vam nudimo naše storitve posredovanja. Vabljeni na ogled."
"4.600.000,00",TACEN,2.004,2010,Stanovanje, 2-sobno,"DUTB, d.d. ","Nedokončani poslovno-stanovanjski kompleks v Šmartnem pod Šmarno goro, Ljubljana  Nedokončani poslovno stanovanjski kompleks se nahaja v Šmartnem pod Šmarno goro v Ljubljani.  Na zemljišču s skupno površino 4.433 m2 se nahajajo dva nedokončana poslovno-stanovanjska objekta (objekt A in objekt B), nedokončan večstanovanjski objekt (objekt C) ter nedokončan objekt za zdravstveno dejavnost in skupna podzemna kletna garaža (98 parkirnih mest ter kleti).  V objektih A, B in C je po gradbenem dovoljenju predvideno 32 stanovanj ter 3 poslovni prostori. Objekt D je glede na projektno dokumentacijo namenjen za zdravstveno dejavnost – zdravstveni dom z laboratoriji. Gradnja objekta D je izvršena zgolj s končano temeljno ploščo (strop garaže) z nastavki za nadaljnjo gradnjo. Ostali objekti so zgrajeni do 3. gradbene faze.  Povzetek ključnih informacij:  Lokacija: Šmartno pod Šmarno goro 	Leto izgradnje: ni dokončano 	Razvojno stanje: 3. gradbena faza 	Stanje dovoljenj: veljavno gradbeno dovoljenje 	Neto površina: 	Objekt A: 		Stanovanjske površine: 415 m2 (6 kom) 			Poslovne površine: 156 m2 (2 kom) 		 		Objekt B: 		Stanovanjske površine: 1.056 m2 (18 kom) 			Poslovne površine: 51 m2 (1 kom) 		 		Objekt C: 533 m2 (8 kom) 		Objekt D: 2.562 m2 (predvidena površina) 	 	Površina zemljišča: 4.433 m2 	Cena predmetne nepremičnine je po dogovoru   Opis lokacije: Šmartno pod Šmarno goro  Kompleks se nahaja ne daleč stran od avtocestnega priključka Šmartno, v naravi locirano v samem centru Šmartno pod Šmarno goro. V neposredni okolici zemljišča je čudovita narava, ki ustvarja miren ambient in nudi številne možnosti za oddih ter rekreacijo (Šmarna gora).Šmartno pod Šmarno goro je del Ljubljane, ki se nahaja na močno razrezanih terasah na levem bregu Save pod Šmarno goro in gorenjskemu odseku avtoceste.    Stranke obveščamo, da si DUTB pridržuje pravico, da v postopku prodaje ne izbere nobenega ponudnika oz. z nobenim ponudnikom ni dolžna skleniti prodajne pogodbe za pogodbeni predmet ali stopiti v kakršnokoli drugo pravno razmerje, četudi je ponudba enaka višini informativne (prodajne) cene ali višja. Prav tako pa ima DUTB možnost za prodajo pogodbenega predmeta razpisati javno dražbo, e-dražbo, objaviti razpis za zbiranje zavezujočih ponudb, ali s ponudniki, ki oddajo enako ponudbo, izvesti dodatna pogajanja. Več informacij je na voljo na povezavi: Kako kupiti nepremičnino od DUTB."
"265.000,00",LJ. ŠIŠKA,"81,2",1939,Stanovanje, 2,"AGNES NEPREMIČNINE, Miha Pivk s.p. ","LJ. ŠIŠKA,  81,2 m2, 2,5 ss, 2/5 nad., zgrajeno l. 1939, klet 4,1 m2, kvalitetna celotna prenova 2010, svetlo in prostorno staromeščansko stanovanje z občutkom za ambient v urejeni prestižni zgradbi, pred zgradbo zelene površine, priložnost tudi za investicijo za zahtevne stranke, iskana lokacija, v neposredni bližini vsa infrastruktura, možnost dokupa garaže, prosta bremen, vredno nakupa. AGNES NEPREMIČNINE  Za dodatno posredovanje podatkov o predmetni nepremičnini pokličite družbo AGNES NEPREMIČNINE na tel. 040-455-018 in se dogovorite za sestanek z nepremičninskim posrednikom. Pred PRODAJO vaše nepremičnine pokličite na tel. 040-455-018 in se dogovorite za termin strokovnega posveta pred prodajo!  Izkoristite ponujeno priložnost! Hvala za zaupanje, se priporočamo !"
"228.900,00",LJ. ŠIŠKA,"82,9",1949,Stanovanje, 3-sobno,MESTO NEPREMIČNIN d.o.o. ,"Trisobno stanovanje v Šiški(3/3. nadstropje, l. 1949,  v celoti prenovljeno l. 2000) Prodamo svetlo in prostorno 3-sobno stanovanje v urejeni in mirni soseski, ki se nahaja znotraj obvoznice, na ulici Majde Vrhovnikove. Stanovanjski tloris odlikuje izjemna funkcionalnost in prostornost. Dodatno ga odlikuje zagrajen balkon s pogledom na vzhod, ki je podaljšek kuhinje. Stanovanju pripada zelo prostorna klet. OSNOVNE ZNAČILNOSTI  Dvigalo: ne Balkon: da (trenutno zastekljen) Parkirno mesto: da, parkirna mesta so pred objektom Prenovljeno: l. 2000 (v celoti) POVRŠINA Skupne površine: 82,9 m2 Neto površina: 69,1 m2 RAZPOREDITEV SOB Dolg vstopni hodnik Dve spalnici Kopalnica Kuhinja Dnevno-bivalni prostor z jedilnico in dnevno sobo Klet OPREMA Oprema vključena v ceno: po dogovoru Klima: da PRENOVA L. 2009: streha, okna v kleti L. 2000: v celoti PRIKLJUČKI Internet: optika Ogrevanje: toplarna LEGA VZHOD: kuhinja, dnevno-bivalni prostor ZAHOD: spalnice INFRASTRUKTURA Stanovanje se nahaja na odlični strateški lokaciji. V okolici se nahaja vsa pomembna infrastruktura, od lekarne, šole, vrtca, zdravstvenega doma, nakupovalnih središč, mestnega prometa, AC priključka… Lokacija nudi vse prednosti mestnega življenja, hkrati pa omogoča hiter pobeg v naravo in aktivno preživljanje prostega časa. OSTALO PONUDBO NAŠIH NEPREMIČNIN, NOVOGRADENJ TER ISKALCEV NEPREMIČNIN SI LAHKO OGLEDATE NA SPODNJI POVEZAVI NAD REFERENČNO ŠTEVILKO!"
"239.000,00",LJ. ŠIŠKA,86,1952,Stanovanje, 3-sobno,"Studio Domicil, d.o.o., Ljubljana ","Zelo prijetno, prostorno, trosobno stanovanje se nahaja na Obirski ulici, v mirnem zaledju Celovške ceste.  Klasično zgrajena zgradba je obdana s parkom in ulico z drevoredom, v  soseski  s celotno infrastrukturo v dosegu pešpoti. Za več informacij in katalog nas prosim kontaktirajte na domicil@domicil.si Skupna površina nepremičnine po zemljiški knjigi in etažnem elaboratu  znaša 85,78m2, od tega bivalnih prostorov z balkonom 76,97m2 in shrambo v kleti  8,81m2. Balkon v velikosti 9,04 je urejen kot zimski vrt in je del bivalnega prostora (ca 6m2),  del pa je kot zastekljena loža (3m2) . Stanovanje se nahaja v prvem nadstropju. Zgradba ima prenovljeno in toplotno izolirano fasado (2018) in streho (1997, 2006).   Osebnega dvigala ni. Stanovanju pripadata večji kletna shramba, v kleti je tudi skupna kolesarnica. Stanovanje je opremljeno, urejeno in vzdrževano ter funkcionalno odlično razporejeno, saj skoraj nima hodnikov. Iz velikega dnevnega prostora je povezava do vhoda/toaletnih prostorov, v kuhinjo/jedilnico ter v obe spalnici. Prostor pa zaokrožuje še  zimski vrt z izhodom na balkon/ložo. Spalnici - sobi sta dve, lepi, prostorni in z velikimi okni. Kopalnica in WC sta ločena prostora, oba z okni,  ki jih je moč tudi  združiti. Vhodni predprostor je dovolj širok da je vanj vgrajena garderobna omara. Stanovanje ima tudi shrambo ob kuhinji. Zaradi klasičnega načina gradnje in konstrukcije, so vse predelave enostavne.  Stanovanje je orientirano na vzhod-zahod. Ob obeh straneh so večja listnata drevesa, ki preprečujejo poletno pregrevanje, dopuščajo pa dostop zimskemu soncu. Fasada in podstreha sta že bili  izolirani. Okna  na zimskem vrtu so prenovljena, ostala so prvotna. Po vseh bivalnih prostorih je položen klasični parket na ribjo kost, v kopalnici pa keramika.  Ogrevanje je daljinsko (toplarna)  priprava tople voda na bojler. Vgrajeni so števci, zato se ogrevanje plačuje zgolj po individualni porabi. Dostop in parkiranje je možno na dvorišču, ki je v lasti zgradbe ali v sosednjih ulicah. LPP v bližini. Nepremičnina je bremen prosta in vpisana v ZK. GD in UD sta pridobljena. Pogoji nakupa: 2% DPN je breme kupca. 15% plačila ob podpisu pogodbe."
"235.000,00",LJ. ŠIŠKA,"89,31",1945,Stanovanje, 3-sobno,MESTO NEPREMIČNIN d.o.o. ,"Trisobno stanovanje v Šiški(1/6 nadstropje, l. 1945, prenovljeno l. 1990) Prodamo trisobno stanovanje v Šiški, ob Celovški cesti. Vsa oprema, razen v dnevnem prostoru, ostane v stanovanju in je vključena v ceno. Parkiranje je možno na dvorišču pred objektom. Vseljivo je takoj. OSNOVNE ZNAČILNOSTI Dvigalo: ne Balkon: ne Parkirno mesto: da, na dvorišču pred objektom POVRŠINA Skupne površine: 89,31 m2 Bivalne površine: 84,42 m2 Kleti: 4,89 m2 RAZPOREDITEV SOB Vstopni hodnik Soba Kuhinja Ločen WC Kopalnica Spalnica Dnevni prostor OPREMA Oprema vključena v ceno: da / Vsa oprema je vključena v ceno in ostane v stanovanju, razen opreme v dnevnem prostoru Vsa oprema je iz leta 1990 Klima: ne Vgradne omare, vgrajene l. 1990 PRENOVA L. 1990: Vodovodne in elektro inštalacije, tla, oprema PRIKLJUČKI Internet: optika Ogrevanje: toplarna LEGA VZHOD: kuhinja, soba ZAHOD: dnevni prostor, spalnica INFRASTRUKTURA Stanovanje se nahaja v Šiški, ob Celovški cesti. Udobno in sproščeno bivanje nudi vsa infrastruktura v neposredni bližini: osnovna šola, vrtec, pošta, lekarna, gostinski lokali itd. OSTALO PONUDBO NAŠIH NEPREMIČNIN, NOVOGRADENJ TER ISKALCEV NEPREMIČNIN SI LAHKO OGLEDATE NA SPODNJI POVEZAVI NAD REFERENČNO ŠTEVILKO!"
"339.000,00",LJ. ŠIŠKA,"89,7",2009,Stanovanje, 3-sobno,LJUBLJANA NEPREMIČNINE d.o.o. ,"Posredujemo pri prodaji lepo opremljenega stanovanja v soseski Celovški dvori.  Stanovanje obsega predprostor z utilityjem, prostorno spalnico, delovno sobo, kopalnico ter kuhinjsko bivalni del z izhodom na prostoren balkon. Stanovanju pripadata dve parkirišči v pokriti garaži ter velika shramba v kleti objekta. Poleg tega pa so na objektu tudi garaže za goste. Svetlo, prostorno in moderno zasnovano, omogoča visoko kvaliteto bivanja.  Vabljeni na ogled!  Pogoj prodajalca za sklenitev posla: kupec je dolžan povrniti del stroška prodaje v višini 2% pogodbene vrednosti + DDV."
"349.000,00",LJ. ŠIŠKA,"92,19",2021,Stanovanje, 3-sobno,MESTO NEPREMIČNIN d.o.o. ,"»Open air space« stanovanje v meščanski vili(M/2, zgrajeno l. 2021) Stanovanje se nahaja v čudoviti meščanski vili, na zelo želeni lokaciji v mirnem delu Šiške, od mestnega jedra in parka Tivoli je oddaljeno manj kot 3 km. V vili so le štiri stanovanja, kar zagotavlja mir in veliko mero zasebnosti. Stanovanje odlikuje sodoben »open air space« slog gradnje in ima velike odprte prostore, dodatno zračnost in prostornost mu dajejo nadstandardno visoki stropi in JZ orientiranost. Na ograjenem dvorišču je zemljišče, namenjeno dvema parkirnima mestoma, na katerem je tudi priključek za električna vozila. Objekt bo imel upravnika. OSNOVNE ZNAČILNOSTI Višina stropov: 2,6 m do 3 m Balkon: da, terasa Parkirno mesto: da, lastniško Leto končanja gradnje: avgust 2020 Video nadzor okolice objekta (4 kamere) Klima: predpriprava za 3 klime POVRŠINA Skupne površine: 92,19 m2 Bivalne površine: 80,69 m2 Odprte lože / balkona: 7,4 m2 Kleti: 4,1 m2 RAZPOREDITEV SOB Vstopni hodnik Soba Spalnica  Kopalnica WC  Kuhinja z jedilnico in izhodom na balkon Dnevna soba Terasa OPREMA Energetsko učinkovita okna Natura, z lesenim profilom, troslojnim steklom s PVC in električnimi ALU lamelami Protivlomna vrata Euromax Dvokrilna vrata s steklenimi polnili in videofonom Masivna lesena notranja vrata s skritimi krili s senčno fugo, podboji in magnetno ključavnico Lamelni naravni hrastov 15 mm parket Talno gretje z regulatorji gretja vsakega prostora posebej Banja v kopalnici INFRASTRUKTURA Udobje bivanja zagotavlja bogata infrastruktura, ki se nahaja v neposredni bližini. V neposredni bližini se nahajajo: LPP postaja št. 1, 3, 5, 8, 15, 22 in 25, zdravstveni dom, kino Šiška, gimnazija Šiška, osnovna šola, restavracije, lekarna, bari, male trgovinice, nakupovalni center Mercator Šiška, Tuš,  knjižnica … DODATNO Kaj nudita bivanje v meščanski vili in okolica? TOP lokacijo in mir v mestnem okolju Meščanska vila se nahaja na odlični in želeni, a hkrati zelo mirni lokaciji v Šiški, od koder se lahko kar peš ali s kolesom opravite do centra mesta Ljubljane ali parka Tivoli. V neposredni bližini je tudi mestna obvoznica. Sodobna zasnova »open air space« stanovanj Stanovanje je zelo prostorno, saj je zasnovano po ameriškem sistemu »open air space«, dodatno zračnost in svetlobo mu dajejo visoki stropi in JZ lega. Ograjeno dvorišče in lastno parkirišče Vila ima ograjeno dvorišče, vrata se odpirajo z daljinskim upravljalcem. Vsakemu stanovanju pripadajo lastniška parkirišča. Na dvorišču bo tudi parkirišče za kolesa ter napajalniki za električna vozila. Majhno število stanovanj v objektu V vili bodo le 4 stanovanja, zato sta zasebnost in mir zagotovljena.  OSTALO PONUDBO NAŠIH NEPREMIČNIN, NOVOGRADENJ TER ISKALCEV NEPREMIČNIN SI LAHKO OGLEDATE NA SPODNJI POVEZAVI NAD REFERENČNO ŠTEVILKO!"
"349.000,00",LJ. ŠIŠKA,"95,7",2020,Stanovanje, 3-sobno,Altum AE Group d.o.o. ,"V neposredni bližini parka Tivoli (cca 1.8 km) in mestnega jedra Ljubljane, prodamo 3 sobno stanovanje v skupni izmeri 95,7 m2. Stanovanje se nahaja v celoti prenovljeni meščanski vili s štirimi stanovanji. Stanovanje sestavljajo: dnevna soba s kuhinjo in jedilnico ter izhodom na balkon, dve sobi, kopalnica ter ločeno stranišče. Stanovanju pripada tudi klet. Cena 349.000 evrov. Cena vključi DDV (9,5%) in 2 parkirnih mesta. V stanovanju je talno gretje, predpriprava za klimatske naprave, protivlomna vhodna vrata, masivna notranja vrata, parket iz naravnega hrasta, troslojna okna z električnimi roletami, videofon. Vila ima ograjeno dvorišče, vrata se odpirajo z daljinskim upravljalcem. Na dvorišču ob parkiriščih je možen priklop napajalnika za električna vozila.Prodajalec kot pogoj za sklenitev kupoprodajne pogodbe izpostavlja, da mora kupec prodajalcu povrniti del stroškov prodaje nepremičnine v višini 2% pogodbene cene + DDV. info@altum-capital.eu +386 31 419 484, Rema Ampar"
"365.000,00",LJ. ŠIŠKA,"101,1",2009,Stanovanje, 3-sobno,COOP nepremičnine d.o.o. ,"V verjetno najbolj mirni in prijetni lameli novejše soseske se v 8. nadstropju nahaja odlično razporejeno družinsko stanovanje, ki se prodaja skupaj z vso nadstandardno ter po meri izdelano opremo in aparaturami. V drugi kleti se nahaja shramba in izredno prostorna garaža (dve veliki parkirni mesti), ki se zapira z rolo garažnimi vrati. Možno parkiranje vseh osebnih vozil, saj je garaža tudi izredno globoka ter opremljena s poličniki. Stanovanje je odlično vzdrževano, vso pohištvo je izdelano po meri pretežno iz masivnega lesa, v kuhinji pulta izdelana iz ameriškega oreha in spalnica prav tako. Vgrajena je kakovostna bela tehnika, praktično vsa oprema, ki je razvidna iz priloženega foto-materiala ostane v stanovanju. Oljen hrastov parket, talno ogrevanje, upihovalniki zraka in radiator v kopalnici. Vsa okna in panoramske stene imajo elektro daljinsko vodene žaluzije. Zunanja enota kakovostne klimatske naprave je montirana na velikem balkonu, kjer so položena novejša tla iz lesa sibirskega macesna. V stanovanju so bila zamenjana tudi vsa standardna notranja vrata.  Sestava stanovanja: dnevna soba s kuhinjo z jedilnico, prostoren in odlično opremljen balkon z lepim razgledom na sončni zahod v zelene Polhograjske dolomite(SZ lega), hodnik z vgradnimi garderobnimi omarami, spalnica, otroška soba, kopalnica z WC-jem, utility z WCjem, balkon, shramba, velika garaža. Neto bivalna površina stanovanja z odštetimi površinami pod pregradnimi stenami znaša 81,30 m2 (po prvotni izmeri etažnega elaborata torej neto stanovanjske površine 87,2 m2). Balkon meri 13,9 m2 in shramba s samostojno etažno številko 5,9 m2. Soseska je odlično logistično locirana z dobro prometno povezavo v vse strani, vse kar družina potrebuje je praktično na dlani. V zadnji lameli in robnim zunanjim  stanovanjem ste tudi dovolj odmaknjeni od prisotnega vrveža velike soseske in nakupovalnega središča. Pogled na Kamniško-Savinjske Alpe bodo žal v pretežni meri zastrle stavbe sicer v okoliš zelo lepo umeščenega projekta Kvartet, ki se gradi v diagonali čez mimobežno ulico glede na lamelo v kateri se stanovanje nahaja. Ponudbeni pogoji prodajalca za nakup stanovanja: ·   Posredniško provizijo v celoti poravna prodajalec ·   DPN plača kupec"
"330.000,00",LJ. ŠIŠKA,"102,7",1929,Stanovanje, 3-sobno,KREATIVDOM d.o.o. ,"Trosobno stanovanje, 102,7 m2, v 3. nadstropju – LJ. ŠIŠKA, MEDVEDOVA CESTA V objektu zgrajenem l. 1929, v neposredni bližini vse potrebne infrastrukture, prodamo izredno prostorno trosobno duplex stanovanje. Zgornja etaža objekta, kjer se stanovanje nahaja, je bila naknadno dograjena l. 1996. Stanovanje se prodaja delno opremljeno. Lokacija nudi vse prednosti in ugodnosti življenja v mestu in možnost rekreacije v zelenem predelu mesta.  Površina, razporeditev in lega  Stanovanje obsega 102,7 m2 celotne površine. 	Stanovanje je zelo prostorno. V spodnji etaži je hodnik, kuhinja z jedilnico, prostoren dnevni prosto in kopalnicar. V zgornji etaži sta dve ločeni spalnici in predprostor kjer je trenutno pisalna miza. 	Stanovanje je z dnevnim prostorm orientirano na JZ in s kuhinjo na SV. Prenove in opremljenost Stanovanje je v prvotnem stanju in je potrebno prenove. Prodaja se delno opremljeno.  Dodatne karakteristike  Dvigalo: ne 	Balkon: ne 	Parkiranje: parkirišče v okolici objekta 	Internet: optika 	Ogrevanje: plinovod, sanitarna voda bojler Opis lokacije in razpoložljiva infrastruktura Lokacija nudi prijetno bivanje v neposredni bližini vse potrebne infrastrukture (osnovne šola, vrtec, trgovina, avtobusna postaja, lekarna...) V okolici se nahajajo številne zelene površine za preživljanje prostega časa (park Tivoli, Koseški bajer, Mostec, PST), hkrati omogoča hiter dostop do AC priključka.  Ostalo Vpisano v ZK. Vseljivo po dogovoru.  Prodajalčev ponudbeni pogoj je, da kupec povrne del stroška prodaje v višini 2% pogodbene vrednosti + DDV.  Vabljeni na ogled!   "
"199.000,00",LJ. ŠIŠKA,103,1901,Stanovanje, 3-sobno,"Lucia tim d.o.o., PE Nepremičnine ","Pri Stari cerkvi, v bližininiTivolija, le 5 min do centra ali 1,6 km. V mirnem naselju v spodnji Šiški v objektu zgrajenem l. 1901 prodamo izredno svetlo ter funkcionalno razporejeno trosobno stanovanje. Sobe so praktično razporejene, prostorne in so ločene od kuhinje, ki ima tudi dvosed in jedilno mizo in služi kot osredni prostor. Stanovanje je delno opremljeno. Kuhinja je novejša, oprema in aparati so vključeni v ceno. V neposredni bližini se nahaja vsa infrastruktura za udobno bivanje. OSNOVNE ZNAČILNOSTI · Balkon: ne  · Parkirno mesto:  pred objektom · Prenovljeno: delno l. 2012 POVRŠINA Skupne površine: 103,5 m2 · Bivalne površine: 88,2 m2 · Kleti: 3,6 m2 · 1 PM pred objektom zagotovljeno vedno · Garaža 11,7 m2  RAZPOREDITEV SOB · Dolg vstopni hodnik · dnevna soba · kuhinja z jedilnim kotom · Dva ločena spalna prostora · Kopalnica · Ločen wc · Shramba v kuhinji · Shramba v hodniku OPREMA · Novejša kuhinja kuhinja 2012 · Oprema vključena v ceno: da · Vsa oprema je  ohranjena · Klima: ne PRENOVA · L. 2012 menjane talne obloge v kuhinji in nova kuhinja, · 2020 novi električni ločeni števeci · 2020 centralna peč na olje za celoten objekt PRIKLJUČKI · Internet: optika · Ogrevanje: centralna LEGA · VZHOD:  kuhinja · JUG: dnevni prostor · SEVER : Spalnica 1 in. Spalnica 2 INFRASTRUKTURA  Lokacija nudi vse prednosti mestnega življenja, hkrati pa omogoča hitri pobeg v naravo in aktivno preživljanje prostega časa v bližini Tivolija in Šišenskega hriba. Udobno in sproščeno bivanje nudi vsa infrastruktura v bližini Osnovna šola, vrtec, pošta, lekarna, zdravstveni dom, gostinski lokali so v neposredni bližini. Stanovanje se nahaja v mirnem predelu družinskih hiš. Pogoji prodajalca, da kupedc plača del stroškov nepremičninskega posredovanja in sicer 2% + DDV. Vpisano v ZK in prosto bremen,  urejena etažna lastnina v trostanovanski stavbi. "
"440.000,00","ČRNUČE, VELIKA TERASA, 2 PARKIRNI MESTI","172,2",2021,Stanovanje, 4-sobno,"STAN nepremičnine d.o.o., Ljubljana ","V novo zgrajenem tristanovanjskem objektu v Črnučah vam predstavljamo praktično 4 sobno stanovanje s teraso , ki skozi ves dan ponuja čudovite odprte in sproščujoče poglede. Stanovanje se razprostira na 118m2 bivalne površine, s pripadajočo teraso v izmeri 54m2, priročno shrambo v pritličju v velikosti cca 3,20 m2 in dvema lastniškima parkirnima mestoma ob objektu. Stanovanje se nahaja v 1. nadstropju in se razprostira v treh etažah: Prva etaža : predsoba, wc, bivalni del s kuhinjo in jedilnico z izhodom na teraso Druga etaža: spalnica, terasa in dve otroški sobi, kopalnica in Tretja terasna etaža za sprostitev telesa in duha, umiritev misli, kjer se ponujajo odprti pogledi Etaže so povezane s stopniščem. Prednosti nakupa novogradnje: Jugozahodna lega sodobna 3 stanovanjska stavba s priročno kolesarnico talno ogrevanje urejen objekt obdan z zelenjem stroški obračunani po lastni porabi zagotovljena zasebnost in sproščeno bivanje svetlo in sončno stanovanje okolica ponuja veliko kolesarskih in sprehajalnih poti vsa infrastruktura na dlani. Stanovanje bo na voljo najkasneje do konca maja 2022. Vabim vas na predstavitev celotnega projekta in prijeten ogled. V agenciji Stan nepremičnine vam ponujamo BREZPLAČEN POSVET pri prodaji vaše nepremičnine in nakupu nepremičnine, ki najbolj ustreza vašim željam in življenjskem slogu. Stopite v stik z nami in si rezervirajte vam ustrezen termin. "
"192.000,00",LJ. CENTER,"52,31",1960,Stanovanje, 2-sobno,KREATIVDOM d.o.o. ,"Dvosobno stanovanje 52,3 m2, v VP. nadstropju, LJ-Center-parkiranje urejeno za zapornico V objektu zgrajenem l. 1960 na zelo atraktivni lokaciji v strogem centru  prodamo simpatično, dvosobno stanovanje, ki se nahaja v VP. nad in ima pogled na park. Objekt je vzdrževan in urejen. V bloku je vgrajeno tudi dodatno dvigalo za invalide.  Stanovanje se nahaja v VP od 10. nadstropij. Pripada mu še shramba v kletnih prostorih bloka. Stanovanje je primerno za samsko osebo, par ali manjšo družino, ter tudi kot investicija za oddajo saj se nahaja v bližini samega starega jedra in tudi bližina UKC.  Površina, razporeditev in lega  Stanovanje skupne površine 52,3 m2 obsega 50,60 m2 neto bivalne površine in 1,70 m2 shrambe. 	Stanovanje obsega: hodnik, kuhinjo z jedilnico in bivalni osrednji del, spalnico in kopalnico s tušem 	Prodaja se opremljeno oziroma o dogovoru Dodatne karakteristike  Dvigalo: Da 	Balkon: Ne 	Internet: optika 	parking: na voljo za zapornico Oprema in prenova  Stanovanje je bilo prenovljeno l. 2000in sicer nova okna in vse inštalacije  Streha je bila prenovljena 1996.  Opis lokacije in razpoložljiva infrastruktura   V okolici se nahaja vsa potrebna infrastruktura (šola, vrtec, lekarna, zdravstveni dom, trgovine, knjižnica, avtobusna postaja), primerno pa je tudi za kratkoročni oz dolgoročni najem.  Ostalo ZK urejeno. Vseljivo po dogovoru.  Pogoj prodaje: Prodajalčev ponudbeni pogoj je, da kupec plača del stroška prodaje v višini 2 % pogodbene vrednosti + ddv.  Vabljeni na ogled!     "
"339.000,00",LJ. ŠIŠKA,118,2009,Stanovanje, 3-sobno,"Stoja trade, d.o.o., Ljubljana ","Znižana cena!Prodamo izredno svetlo ter zelo lepo opremljeno 3-sobno stanovanje, ki se nahaja v pritličju urejen stanovanjske stavbe. Stanovanje ima 2 atrija z ložami, v podzemni garaži samostojen boks z dvemi velikimi parkirni mesti, ter vključuje shrambo. (118,00m2 bruto, 74,20m2 neto, 43,80m2 atrij). Atraktivnost stanovanja dopolnjuje vsa infrastruktura v neposredni bližini (LPP, novo nakupovalno središče Aleja, bližina obvoznice...).    Razpored prostorov:     Hodnik/predsoba z velikimi garderobnimi omarami, odprta dnevna soba z jedilnico in kuhinjo ter z izhodom na čudovit atrij, kopalnica, na vzhodni strani pa glavna spalnica ter otroška soba, Stanovanju pripadata dve veliki parkirni mesti pod stavbo v garaži in velika shramba. Ogrevanje na toplovod. Povprečni mesečni stroški znašajo 150eur.     Vredno ogleda!     Pogoj lastnika za sklenitev posla: Kupec plača davek na promet nepremičnin v višini 2 % od končne prodajne cene. "
"335.000,00",LJ. ŠIŠKA,118,2009,Stanovanje, 3-sobno,Inalbea d.o.o. ,"MOŽNOST VIRTUALNEGA OGLEDA NEPREMIČNINE!3-sobno stanovanje, 118,00 m2, 2 atrija, 2 parkini mesti v garaži stavbeNa odlični in zelo iskani lokaciji v Šiški, v soseski Celovški dvori, v urejeni stavbi, zgrajeni l. 2009, prodamo izredno svetlo, prijetno, zelo lepo opremljeno ter prostorno 3-sobno stanovanje z dvema čudovitima atrijema in dvema parkirnima mestoma v garaži stavbe.Stanovanje je bilo prvič vseljeno šele l. 2015. VelikostStanovanje meri 118,00 m2, od tega 74,20 m2 bivalne površine in dva atrija v skupni izmeri 43,80 m2. Stanovanje ima zelo visoke strope 3,00 m2. V kleti stavbe garažni boks z dvema zelo prostornima parkirnima mestoma ter shrambo.RazporeditevStanovanje obsega predprostor / hodnik z vgradnimi omarami, zelo svetel in prostoren dnevno bivalni prostor s kuhinjo in jedilnim delom ter z izhodom na prvi atrij, spalnico z izhodom na drugi atrij, otroško sobo ter kopalnico z WC-jem. Stanovanje je opremljeno razen otroške sobe.Priključkiinternet: optikaogrevanje: centralno daljinsko, mestni plinklimaParkiranjeStanovanju pripada garažni boks z dvema zelo prostornima parkirnima mestoma, ki se nahaja v kleti stavbe.Lokacija in infrastrukturaStavba se nahaja na odlični in zelo iskani lokaciji v Šiški, v soseski Celovški dvori, v neposredni bližini celotne infrastrukture ter AC obroča. ZK stanjeVpisano v ZK. Pogoji in ostaloPogoj prodajalca je, da kupec ob sklenitvi pogodbe poravna vrednost davka na promet z nepremičnino v višini 2% od prodajne vrednosti + del dodatnih stroškov prodaje v višini 0,44% od končne prodajne vrednosti. VLJUDNO VABLJENI NA OGLED!"
